"Auditor","Republican
Scott Fitzpatrick","Democratic
Alan Green","Libertarian
John A. Hartwig Jr.","Write-In
Arnie C. Dienoff","Total"
"De Kalb","2698","556","103","0","3357"
"Dent","4179","653","142","0","4974"
"Douglas","4226","639","122","0","4987"
"Dunklin","4986","1086","100","0","6172"
"Franklin","26429","9297","1054","0","36780"
"Gasconade","4547","1007","124","0","5678"
"Gentry","1821","425","62","0","2308"
"Greene","59696","34975","2924","0","97595"
"Grundy","2632","484","88","0","3204"
"Harrison","2342","335","44","0","2721"
"Henry","5603","1621","216","0","7440"
"Hickory","2882","669","87","0","3638"
"Holt","1419","215","29","0","1663"
"Howard","2741","929","149","0","3819"
"Howell","10766","2044","370","0","13180"
"Iron","2345","602","89","0","3036"
"Jackson","68301","56328","4807","0","129436"
"Jasper","25962","7673","1006","0","34641"
"Jefferson","51777","23956","2737","0","78470"
"Johnson","10793","4243","590","0","15626"
"Kansas City","17786","65350","2301","1","85438"
"Knox","1058","230","46","0","1334"
"Laclede","9403","1653","286","0","11342"
"Lafayette","8729","2851","405","0","11985"
"Lawrence","10330","1889","305","0","12524"
"Lewis","2476","574","88","0","3138"
"Lincoln","14856","4227","680","0","19763"
"Linn","3063","893","127","0","4083"
"Livingston","3738","863","112","0","4713"
"Macon","4434","1022","117","0","5573"
"Madison","2952","672","68","0","3692"
