"Nonpartisan Judge
Missouri Court of Appeals, Southern District
Don Burrell","YES","NO","Total"
"Polk","6951","2425","9376"
"Pulaski","6406","1811","8217"
"Reynolds","1317","539","1856"
"Ripley","2349","778","3127"
"Scott","8056","2172","10228"
"Shannon","1622","741","2363"
"St. Clair","2348","942","3290"
"Stoddard","5859","1649","7508"
"Stone","9774","2088","11862"
"Taney","12428","2896","15324"
"Texas","5659","1514","7173"
"Wayne","2573","845","3418"
"Webster","9812","2797","12609"
"Wright","3919","1544","5463"
"Total","314282","100684","414966"
