"Nonpartisan Judge
Missouri Court of Appeals, Southern District
Jack Goodman","YES","NO","Total"
"Polk","6972","2405","9377"
"Pulaski","6448","1777","8225"
"Reynolds","1342","520","1862"
"Ripley","2376","747","3123"
"Scott","8085","2139","10224"
"Shannon","1642","725","2367"
"St. Clair","2349","902","3251"
"Stoddard","5928","1573","7501"
"Stone","9906","2039","11945"
"Taney","12567","2794","15361"
"Texas","5691","1482","7173"
"Wayne","2594","832","3426"
"Webster","9824","2754","12578"
"Wright","3944","1519","5463"
"Total","316291","98858","415149"
