"Constitutional Amendment
Amendment 3","YES","NO","Total"
"Maries","1186","2238","3424"
"Marion","3755","4894","8649"
"McDonald","2560","3486","6046"
"Mercer","428","828","1256"
"Miller","3412","5300","8712"
"Mississippi","1322","1545","2867"
"Moniteau","1819","3273","5092"
"Monroe","1235","1920","3155"
"Montgomery","1581","2468","4049"
"Morgan","3127","3788","6915"
"New Madrid","2016","2330","4346"
"Newton","7347","12492","19839"
"Nodaway","2688","4335","7023"
"Oregon","1186","1866","3052"
"Osage","1691","3811","5502"
"Ozark","1456","2219","3675"
"Pemiscot","1427","1711","3138"
"Perry","2466","3769","6235"
"Pettis","5709","7428","13137"
"Phelps","5771","7736","13507"
"Pike","2077","3058","5135"
"Platte","25520","15405","40925"
"Polk","4196","6303","10499"
"Pulaski","4061","5241","9302"
"Putnam","609","1086","1695"
"Ralls","1648","2310","3958"
"Randolph","3004","4445","7449"
"Ray","4102","3820","7922"
"Reynolds","1023","1346","2369"
"Ripley","1504","2197","3701"
"Saline","2826","3419","6245"
